otherCellLine,cellLine,correlation
LC.HOP_62,LC.A549,0.722216879
OV.OVCAR_5,OV.OVCAR_4,0.722124147
RE.TK_10,LC.NCI_H226,0.721690729
RE.RXF_393,OV.OVCAR_8,0.72152475
RE.CAKI_1,OV.OVCAR_4,0.721406648
RE.786_0,PR.PC_3,0.721375858
RE.SN12C,CNS.SF_539,0.720873647
PR.PC_3,OV.SK_OV_3,0.720305021
CO.HCT_15,BR.MCF7,0.720295089
LC.A549,CO.HCT_116,0.720275425
RE.SN12C,PR.PC_3,0.719826802
OV.OVCAR_5,CO.HT29,0.719400904
LC.NCI_H322M,CO.HCT_116,0.718886953
RE.ACHN,LC.NCI_H226,0.718828764
RE.TK_10,LC.A549,0.718797901
OV.NCI_ADR_RES,LC.NCI_H23,0.718696783
LC.NCI_H460,LC.NCI_H23,0.718460186
RE.TK_10,LC.HOP_92,0.718246215
OV.OVCAR_8,BR.BT_549,0.71803199
RE.SN12C,LC.NCI_H23,0.717578469
RE.786_0,CNS.SF_295,0.716919054
RE.CAKI_1,LC.EKVX,0.71665014
RE.786_0,OV.OVCAR_8,0.716317621
LC.NCI_H460,LC.EKVX,0.716239745
RE.786_0,CNS.SF_268,0.716143138
RE.SN12C,RE.RXF_393,0.715729931
LC.NCI_H226,LC.A549,0.715630419
RE.SN12C,OV.SK_OV_3,0.715493864
PR.DU_145,OV.IGROV1,0.715474379
RE.TK_10,OV.NCI_ADR_RES,0.715217136
RE.UO_31,LC.A549,0.714969987
RE.UO_31,CNS.SF_295,0.714612475
RE.UO_31,PR.PC_3,0.714526535
RE.RXF_393,OV.NCI_ADR_RES,0.714388151
BR.MDA_MB_231,BR.BT_549,0.714310272
OV.OVCAR_5,OV.NCI_ADR_RES,0.714114594
LC.HOP_62,CNS.SNB_75,0.714103277
BR.MDA_MB_231,BR.HS578T,0.714036689
OV.IGROV1,CO.HCT_116,0.713897588
RE.786_0,BR.HS578T,0.713850483
RE.TK_10,RE.SN12C,0.713780478
RE.ACHN,LC.HOP_92,0.71376333
OV.OVCAR_8,OV.OVCAR_5,0.713286477
LC.HOP_92,CNS.SF_539,0.713207896
RE.UO_31,BR.BT_549,0.713004156
ME.LOXIMVI,LC.HOP_62,0.712617189
RE.RXF_393,OV.OVCAR_5,0.712612301
LC.HOP_92,CNS.SF_295,0.712416004
RE.A498,LC.HOP_62,0.712392983
RE.786_0,CNS.U251,0.712333603
RE.RXF_393,PR.DU_145,0.712330291
RE.CAKI_1,CNS.U251,0.712153756
RE.RXF_393,OV.OVCAR_4,0.712052636
RE.A498,BR.MDA_MB_231,0.711197827
OV.OVCAR_4,LC.NCI_H322M,0.711130669
RE.CAKI_1,OV.IGROV1,0.710669625
OV.OVCAR_4,BR.MDA_MB_231,0.710655274
LC.NCI_H226,CNS.U251,0.710434411
RE.RXF_393,CNS.SF_268,0.710255206
OV.OVCAR_5,CO.KM12,0.710252499
PR.PC_3,CNS.SF_295,0.710197674
OV.OVCAR_8,LC.HOP_92,0.710158833
RE.TK_10,OV.IGROV1,0.709224927
RE.786_0,OV.NCI_ADR_RES,0.709135076
CNS.SNB_19,BR.HS578T,0.708980186
LC.NCI_H23,CO.HCT_116,0.708258562
CNS.U251,BR.HS578T,0.707849036
CNS.SNB_19,BR.BT_549,0.70777115
RE.SN12C,LC.A549,0.707696439
CNS.U251,BR.BT_549,0.707493704
RE.RXF_393,CNS.U251,0.707173754
CO.HCT_116,BR.MCF7,0.706826058
CO.HCT_116,BR.MDA_MB_231,0.706644468
OV.SK_OV_3,LC.NCI_H322M,0.706378379
RE.A498,CNS.SF_295,0.706066691
RE.ACHN,OV.OVCAR_4,0.706039565
OV.NCI_ADR_RES,LC.HOP_92,0.70564451
RE.A498,OV.OVCAR_5,0.705348559
ME.LOXIMVI,CNS.SF_295,0.705317758
OV.OVCAR_8,OV.OVCAR_4,0.705146132
LC.NCI_H322M,LC.A549,0.704885286
RE.CAKI_1,CNS.SF_539,0.704634026
LC.NCI_H226,CNS.SNB_19,0.704442198
RE.786_0,CNS.SNB_19,0.704178656
LC.NCI_H23,BR.BT_549,0.703401581
ME.LOXIMVI,CNS.SF_268,0.703286749
LC.HOP_92,BR.BT_549,0.703224486
PR.DU_145,OV.OVCAR_3,0.703221019
PR.PC_3,OV.NCI_ADR_RES,0.703217956
OV.NCI_ADR_RES,BR.BT_549,0.702917395
RE.A498,CNS.SF_539,0.702852977
OV.OVCAR_5,CO.HCC_2998,0.702611152
CO.SW_620,CO.HT29,0.702579262
OV.OVCAR_4,LC.HOP_62,0.701847317
OV.OVCAR_4,CO.HCT_15,0.701810046
RE.RXF_393,PR.PC_3,0.701603082
RE.A498,OV.OVCAR_8,0.701597971
RE.ACHN,OV.IGROV1,0.701492021
LC.NCI_H322M,CO.HCC_2998,0.701391898
OV.OVCAR_5,LC.NCI_H23,0.701381232
RE.SN12C,CNS.U251,0.701268094
CNS.SF_539,BR.MDA_MB_231,0.700700458
ME.LOXIMVI,CNS.SF_539,0.70024966
CNS.SF_295,BR.MDA_MB_231,0.700129261
OV.OVCAR_4,OV.NCI_ADR_RES,0.700095837
RE.786_0,OV.OVCAR_4,0.698948905
LC.HOP_62,LC.EKVX,0.698828332
RE.UO_31,CNS.U251,0.698801794
OV.IGROV1,LC.A549,0.698795467
RE.SN12C,BR.HS578T,0.698748482
PR.PC_3,OV.OVCAR_8,0.698618335
LC.NCI_H460,LC.HOP_62,0.698481675
RE.786_0,BR.BT_549,0.698225335
OV.SK_OV_3,LC.EKVX,0.69804737
RE.UO_31,CNS.SF_539,0.697923486
RE.A498,OV.NCI_ADR_RES,0.697921828
RE.A498,CNS.U251,0.697475721
PR.DU_145,BR.MCF7,0.696806702
RE.TK_10,PR.PC_3,0.696464216
PR.PC_3,CNS.U251,0.696330102
PR.PC_3,LC.A549,0.696255882
RE.SN12C,CNS.SNB_19,0.696181112
RE.TK_10,LC.EKVX,0.695540402
OV.OVCAR_8,CNS.SF_539,0.69547459
ME.LOXIMVI,LC.NCI_H226,0.695090039
RE.CAKI_1,CNS.SF_268,0.694638479
OV.OVCAR_8,LC.A549,0.694539435
RE.TK_10,CO.HCT_116,0.693236657
OV.SK_OV_3,CO.HCT_116,0.693199533
OV.OVCAR_4,LC.EKVX,0.692670652
RE.SN12C,RE.A498,0.692253773
RE.A498,OV.OVCAR_4,0.692184224
PR.PC_3,LC.NCI_H322M,0.692092296
LC.HOP_92,BR.HS578T,0.691990793
CO.HT29,CO.HCT_116,0.691257438
OV.NCI_ADR_RES,CNS.SF_539,0.690916311
LC.EKVX,CO.HCT_116,0.690895733
PR.DU_145,CO.SW_620,0.690893232
OV.OVCAR_4,LC.A549,0.690818498
RE.A498,LC.HOP_92,0.690754502
PR.DU_145,CO.HCC_2998,0.690521188
RE.CAKI_1,OV.OVCAR_3,0.690349107
RE.SN12C,CNS.SNB_75,0.690329205
RE.UO_31,OV.IGROV1,0.690121274
RE.RXF_393,LC.A549,0.69006184
RE.UO_31,BR.HS578T,0.689840808
LC.NCI_H322M,CO.HT29,0.68972837
OV.OVCAR_3,CO.HCT_116,0.689707288
RE.A498,LC.EKVX,0.689696046
RE.A498,BR.BT_549,0.689271561
ME.LOXIMVI,BR.MDA_MB_231,0.687796625
OV.OVCAR_5,LC.NCI_H460,0.687387694
RE.CAKI_1,LC.NCI_H23,0.687126354
OV.NCI_ADR_RES,CO.HCT_116,0.687058918
RE.A498,PR.PC_3,0.68697854
RE.A498,CNS.SNB_75,0.68687403
RE.UO_31,LC.EKVX,0.686769072
PR.PC_3,OV.OVCAR_4,0.686746666
ME.LOXIMVI,LC.HOP_92,0.686540858
PR.PC_3,LC.EKVX,0.686462161
PR.DU_145,BR.BT_549,0.686302564
RE.ACHN,PR.PC_3,0.686261653
RE.SN12C,OV.OVCAR_5,0.685960315
ME.LOXIMVI,BR.HS578T,0.68583715
LC.HOP_62,CO.HCT_116,0.685785729
RE.CAKI_1,BR.HS578T,0.685424729
OV.OVCAR_8,CO.HCT_116,0.685345966
RE.A498,CNS.SNB_19,0.685193937
PR.DU_145,CNS.SF_268,0.684950773
PR.PC_3,BR.BT_549,0.684752041
RE.A498,BR.HS578T,0.684553153
OV.OVCAR_8,OV.OVCAR_3,0.684535742
RE.A498,LC.NCI_H460,0.684303129
RE.786_0,ME.LOXIMVI,0.684293122
OV.NCI_ADR_RES,LC.A549,0.684213662
LC.NCI_H460,CNS.U251,0.683740543
LC.NCI_H322M,BR.T47D,0.683537233
OV.OVCAR_3,OV.NCI_ADR_RES,0.683444525
OV.OVCAR_3,LC.NCI_H322M,0.683156213
LC.HOP_92,CNS.SNB_75,0.68312459
LC.NCI_H460,LC.NCI_H226,0.682864346
RE.UO_31,CNS.SNB_19,0.682837271
PR.PC_3,ME.LOXIMVI,0.682740587
ME.LOXIMVI,BR.BT_549,0.682527056
RE.TK_10,OV.OVCAR_3,0.682196657
CNS.U251,BR.MDA_MB_231,0.682190335
RE.ACHN,CO.HCT_116,0.682032075
OV.NCI_ADR_RES,ME.LOXIMVI,0.681904093
RE.RXF_393,LC.EKVX,0.681474695
LC.NCI_H322M,CO.KM12,0.681374916
LC.HOP_92,CNS.SF_268,0.681173899
OV.OVCAR_8,OV.IGROV1,0.68105315
RE.786_0,OV.IGROV1,0.680726072
RE.786_0,CNS.SNB_75,0.680717253
PR.DU_145,LC.NCI_H522,0.680527694
OV.OVCAR_3,LC.HOP_62,0.68036484
CO.HCT_15,BR.T47D,0.680148051
OV.SK_OV_3,LC.HOP_92,0.680140067
RE.CAKI_1,CNS.SNB_19,0.680072032
RE.RXF_393,CNS.SNB_19,0.680047938
ME.UACC_62,CNS.SNB_75,0.679924154
LC.NCI_H23,LC.NCI_H226,0.679716375
OV.OVCAR_4,BR.T47D,0.679478068
RE.UO_31,CNS.SNB_75,0.679409427
RE.CAKI_1,CNS.SNB_75,0.679249489
RE.786_0,LC.EKVX,0.679113567
LC.HOP_92,CO.HCT_116,0.678852418
CNS.SNB_19,BR.MDA_MB_231,0.678708727
OV.SK_OV_3,BR.BT_549,0.678616293
LC.A549,CO.HCT_15,0.678486767
RE.UO_31,OV.OVCAR_3,0.678303421
CNS.SNB_75,BR.MDA_MB_231,0.678296919
OV.OVCAR_4,LC.NCI_H23,0.678167782
LC.A549,BR.MDA_MB_231,0.678061264
OV.OVCAR_4,BR.MCF7,0.677235995
PR.PC_3,OV.OVCAR_3,0.677213937
OV.OVCAR_4,LC.NCI_H226,0.67702573
RE.ACHN,LC.EKVX,0.676784346
RE.CAKI_1,ME.LOXIMVI,0.676543459
RE.CAKI_1,LC.NCI_H460,0.676143864
OV.OVCAR_8,ME.LOXIMVI,0.675879178
LC.NCI_H226,LC.EKVX,0.675797632
LC.HOP_92,CNS.U251,0.675563856
CO.HCC_2998,BR.MCF7,0.675415821
PR.PC_3,LC.NCI_H460,0.675368962
RE.A498,OV.IGROV1,0.674986644
RE.ACHN,CNS.SF_268,0.674794703
LC.NCI_H322M,BR.MCF7,0.674700681
PR.PC_3,CNS.SF_268,0.673859493
RE.ACHN,OV.OVCAR_3,0.673728458
RE.ACHN,CNS.U251,0.673358343
OV.IGROV1,CO.HCT_15,0.673159988
OV.OVCAR_8,CNS.SF_295,0.672683217
RE.RXF_393,ME.LOXIMVI,0.672681963
PR.DU_145,CNS.U251,0.672390337
OV.OVCAR_8,LC.NCI_H522,0.672224722
OV.OVCAR_8,BR.HS578T,0.672150667
PR.PC_3,OV.IGROV1,0.672020713
LC.NCI_H322M,LC.EKVX,0.671942461
RE.TK_10,LC.NCI_H23,0.671310374
RE.ACHN,LC.NCI_H23,0.671057827
OV.OVCAR_8,LC.EKVX,0.670291063
OV.OVCAR_5,OV.OVCAR_3,0.670022639
RE.ACHN,BR.BT_549,0.669963894
OV.OVCAR_5,CNS.SF_295,0.669941842
OV.OVCAR_3,CO.HCT_15,0.669908
RE.TK_10,BR.BT_549,0.669852887
OV.NCI_ADR_RES,OV.IGROV1,0.669631939
LC.EKVX,BR.MDA_MB_231,0.669598155
LC.NCI_H23,LC.HOP_92,0.669379675
LC.A549,CNS.U251,0.669215661
OV.OVCAR_4,CO.HCC_2998,0.668829434
LC.HOP_92,CNS.SNB_19,0.668711754
OV.NCI_ADR_RES,CNS.SF_295,0.668681962
RE.CAKI_1,CO.HCT_116,0.668520334
RE.UO_31,ME.LOXIMVI,0.668296126
OV.OVCAR_8,CNS.U251,0.668280013
PR.PC_3,LC.NCI_H23,0.668274405
RE.SN12C,LC.EKVX,0.667952493
LC.A549,CO.HCC_2998,0.667588862
LC.NCI_H23,BR.MCF7,0.667450207
ME.M14,CNS.SNB_75,0.667286547
LC.NCI_H460,CNS.SNB_19,0.667221916
OV.SK_OV_3,LC.NCI_H23,0.667205959
OV.SK_OV_3,CNS.SF_268,0.666868741
RE.SN12C,CO.HCT_116,0.666836831
RE.UO_31,LC.NCI_H23,0.666437146
RE.A498,CNS.SF_268,0.666281626
RE.RXF_393,OV.OVCAR_3,0.665966081
RE.SN12C,LC.NCI_H460,0.665941849
ME.M14,CNS.SF_295,0.665548426
OV.IGROV1,BR.MDA_MB_231,0.665545044
LC.NCI_H23,BR.MDA_MB_231,0.665144523
LC.NCI_H460,CNS.SF_295,0.665102186
CO.SW_620,BR.MCF7,0.66500561
ME.UACC_62,CNS.SF_295,0.664629562
LC.NCI_H460,CO.HCT_116,0.664482865
RE.ACHN,CNS.SF_295,0.66441611
PR.DU_145,CNS.SNB_19,0.664342634
PR.PC_3,BR.HS578T,0.664270795
LC.NCI_H460,LC.NCI_H322M,0.663902497
OV.SK_OV_3,CO.HCT_15,0.663873941
RE.ACHN,CNS.SF_539,0.66384563
RE.SN12C,OV.OVCAR_4,0.663699043
PR.DU_145,BR.T47D,0.663617082
ME.M14,LC.HOP_62,0.663537924
RE.UO_31,CO.HCT_116,0.663123544
OV.OVCAR_4,CO.SW_620,0.662101391
LC.A549,CO.SW_620,0.662011232
LC.NCI_H23,CNS.SF_539,0.661946603
LC.HOP_92,LC.EKVX,0.661724436
LC.A549,CNS.SF_268,0.661490731
LC.NCI_H322M,BR.MDA_MB_231,0.661419591
RE.A498,LC.NCI_H23,0.661101158
OV.NCI_ADR_RES,LC.EKVX,0.661083295
LC.A549,CNS.SNB_19,0.661008011
LC.NCI_H322M,LC.HOP_62,0.660751325
RE.RXF_393,LC.NCI_H23,0.660724392
OV.OVCAR_8,CNS.SNB_75,0.660557878
LE.HL_60,LE.CCRF_CEM,0.66032658
OV.OVCAR_5,CNS.U251,0.660304857
OV.NCI_ADR_RES,BR.HS578T,0.660117003
OV.OVCAR_4,CNS.U251,0.660058589
OV.IGROV1,CO.SW_620,0.659934346
OV.SK_OV_3,CNS.U251,0.659931067
OV.OVCAR_8,LC.NCI_H460,0.659844176
RE.RXF_393,OV.IGROV1,0.659815495
CO.HCT_116,BR.T47D,0.659800693
LC.EKVX,CO.HCT_15,0.659783869
OV.OVCAR_3,LC.NCI_H23,0.659702267
OV.NCI_ADR_RES,LC.NCI_H460,0.659682814
OV.NCI_ADR_RES,LC.NCI_H522,0.659640104
OV.OVCAR_3,LC.A549,0.659241128
OV.NCI_ADR_RES,CNS.U251,0.659023549
OV.OVCAR_4,LC.HOP_92,0.658776545
OV.IGROV1,LC.EKVX,0.658679442
OV.SK_OV_3,LC.NCI_H460,0.658513691
OV.SK_OV_3,CNS.SNB_19,0.658262523
ME.MDA_MB_435,ME.LOXIMVI,0.658242809
